employeenumber,age,gender,maritalstatus,education,department,jobrole,joblevel,monthlyincome,percentsalaryhike,jobsatisfaction,environmentsatisfaction,worklifebalance,tenure_years,yearsincurrentrole,yearssincelastpromotion,overtime,attrition_flag
1,41,Female,Single,2,Sales,Sales Executive,2,5993,11,4,2,1,6,4,0,Yes,1
2,49,Male,Married,1,Research & Development,Research Scientist,2,5130,23,2,3,3,10,7,1,No,0
4,37,Male,Single,2,Research & Development,Laboratory Technician,1,2090,15,3,4,3,0,0,0,Yes,1
5,33,Female,Married,4,Research & Development,Research Scientist,1,2909,11,3,4,3,8,7,3,Yes,0
7,27,Male,Married,1,Research & Development,Laboratory Technician,1,3468,12,2,1,3,2,2,2,No,0
8,32,Male,Single,2,Research & Development,Laboratory Technician,1,3068,13,4,4,2,7,7,3,No,0
10,59,Female,Married,3,Research & Development,Laboratory Technician,1,2670,20,1,3,2,1,0,0,Yes,0
11,30,Male,Divorced,1,Research & Development,Laboratory Technician,1,2693,22,3,4,3,1,0,0,No,0
12,38,Male,Single,3,Research & Development,Manufacturing Director,3,9526,21,3,4,3,9,7,1,No,0
13,36,Male,Married,3,Research & Development,Healthcare Representative,2,5237,13,3,3,2,7,7,7,No,0
14,35,Male,Married,3,Research & Development,Laboratory Technician,1,2426,13,2,1,3,5,4,0,No,0
15,29,Female,Single,2,Research & Development,Laboratory Technician,2,4193,12,3,4,3,9,5,0,Yes,0
16,31,Male,Divorced,1,Research & Development,Research Scientist,1,2911,17,3,1,2,5,2,4,No,0
18,34,Male,Divorced,2,Research & Development,Laboratory Technician,1,2661,11,4,2,3,2,2,1,No,0
19,28,Male,Single,3,Research & Development,Laboratory Technician,1,2028,14,3,3,3,4,2,0,Yes,1
20,29,Female,Divorced,4,Research & Development,Manufacturing Director,3,9980,11,1,2,3,10,9,8,No,0
21,32,Male,Divorced,2,Research & Development,Research Scientist,1,3298,12,2,1,2,6,2,0,Yes,0
22,22,Male,Divorced,2,Research & Development,Laboratory Technician,1,2935,13,4,4,2,1,0,0,Yes,0
23,53,Female,Married,4,Sales,Manager,4,15427,16,4,1,3,25,8,3,No,0
24,38,Male,Single,3,Research & Development,Research Scientist,1,3944,11,4,4,3,3,2,1,Yes,0
26,24,Female,Divorced,2,Research & Development,Manufacturing Director,2,4011,18,3,1,2,4,2,1,No,0
27,36,Male,Single,4,Sales,Sales Representative,1,3407,23,1,3,3,5,3,0,No,1
28,34,Female,Single,4,Research & Development,Research Director,3,11994,11,2,1,3,12,6,2,No,0
30,21,Male,Single,2,Research & Development,Research Scientist,1,1232,14,4,3,3,0,0,0,No,0
31,34,Male,Single,1,Research & Development,Research Scientist,1,2960,11,1,2,3,4,2,1,No,1
32,53,Female,Divorced,3,Research & Development,Manager,5,19094,11,3,3,2,14,13,4,No,0
33,32,Female,Single,1,Research & Development,Research Scientist,1,3919,22,1,2,3,10,2,6,Yes,1
35,42,Male,Married,4,Sales,Sales Executive,2,6825,11,2,3,3,9,7,4,No,0
36,44,Female,Married,4,Research & Development,Healthcare Representative,3,10248,14,4,1,3,22,6,5,No,0
38,46,Female,Single,4,Sales,Manager,5,18947,12,1,2,2,2,2,2,No,0
39,33,Male,Single,3,Research & Development,Laboratory Technician,1,2496,11,4,3,3,1,1,0,No,0
40,44,Male,Married,4,Research & Development,Healthcare Representative,2,6465,13,4,4,4,4,2,1,Yes,0
41,30,Male,Single,2,Research & Development,Laboratory Technician,1,2206,13,3,4,3,10,0,1,No,0
42,39,Male,Married,3,Sales,Sales Representative,2,2086,14,4,4,4,1,0,0,No,1
45,24,Male,Married,3,Research & Development,Research Scientist,1,2293,16,4,2,2,2,0,2,Yes,1
46,43,Female,Divorced,2,Research & Development,Research Scientist,1,2645,12,3,4,2,5,3,1,No,0
47,50,Male,Married,2,Sales,Sales Representative,1,2683,14,3,1,3,3,2,0,Yes,1
49,35,Female,Married,3,Sales,Sales Representative,1,2014,13,4,4,3,2,2,2,No,0
51,36,Female,Married,4,Research & Development,Research Scientist,1,3419,14,1,2,4,1,1,0,Yes,0
52,33,Female,Married,3,Sales,Sales Executive,2,5376,19,1,3,3,5,3,1,No,0
53,35,Male,Divorced,2,Research & Development,Laboratory Technician,1,1951,12,4,3,3,1,0,0,No,0
54,27,Female,Divorced,4,Research & Development,Laboratory Technician,1,2341,13,1,4,3,1,0,0,No,0
55,26,Male,Single,3,Research & Development,Laboratory Technician,1,2293,12,3,1,2,1,0,0,No,1
56,27,Male,Single,3,Sales,Sales Executive,3,8726,15,3,4,3,9,8,1,No,0
57,30,Female,Single,2,Research & Development,Laboratory Technician,2,4011,23,4,3,3,12,8,3,No,0
58,41,Female,Married,3,Research & Development,Research Director,5,19545,12,3,2,3,22,15,15,No,1
60,34,Male,Single,4,Sales,Sales Executive,2,4568,20,3,2,3,9,5,8,No,0
61,37,Male,Married,2,Research & Development,Research Scientist,1,3022,21,2,2,3,1,0,0,No,0
62,46,Male,Single,4,Sales,Sales Executive,2,5772,21,4,1,3,9,6,0,Yes,0
63,35,Male,Married,1,Research & Development,Laboratory Technician,1,2269,19,4,4,3,1,0,0,No,0
64,48,Male,Single,2,Research & Development,Laboratory Technician,3,5381,13,3,1,3,1,0,0,Yes,1
65,28,Male,Single,4,Research & Development,Laboratory Technician,1,3441,13,3,3,2,2,2,2,Yes,1
68,44,Female,Divorced,5,Sales,Sales Executive,2,5454,21,1,2,2,4,3,1,Yes,0
70,35,Male,Married,2,Research & Development,Healthcare Representative,3,9884,13,1,3,3,4,0,2,Yes,0
72,26,Female,Married,3,Sales,Sales Executive,2,4157,19,4,3,2,2,2,0,Yes,0
73,33,Female,Single,2,Research & Development,Research Director,3,13458,12,4,1,3,15,14,8,Yes,0
74,35,Male,Married,5,Sales,Sales Executive,3,9069,22,1,2,2,9,8,1,No,0
75,35,Female,Married,4,Research & Development,Laboratory Technician,1,4014,15,1,3,3,2,2,2,Yes,0
76,31,Male,Divorced,4,Research & Development,Laboratory Technician,2,5915,22,4,4,2,7,7,1,No,0
77,37,Male,Divorced,4,Research & Development,Manufacturing Director,2,5993,18,3,1,4,7,5,0,No,0
78,32,Male,Married,3,Research & Development,Manufacturing Director,2,6162,22,4,1,3,9,8,7,Yes,0
79,38,Female,Single,5,Research & Development,Laboratory Technician,2,2406,11,4,4,3,10,3,9,No,0
80,50,Female,Divorced,2,Research & Development,Research Director,5,18740,12,3,2,2,27,3,13,Yes,0
81,59,Female,Single,3,Sales,Sales Executive,3,7637,11,1,1,2,21,16,7,No,0
83,36,Female,Divorced,3,Research & Development,Healthcare Representative,3,10096,13,3,3,3,17,14,12,No,0
84,55,Female,Divorced,3,Research & Development,Manager,4,14756,14,3,4,3,5,0,0,Yes,0
85,36,Male,Single,3,Research & Development,Manufacturing Director,2,6499,13,2,2,3,6,5,0,No,0
86,45,Male,Divorced,3,Research & Development,Research Scientist,3,9724,17,1,2,3,1,0,0,No,0
88,35,Male,Married,3,Research & Development,Research Scientist,1,2194,13,1,2,2,3,2,1,No,0
90,36,Male,Married,3,Research & Development,Research Scientist,1,3388,17,3,4,2,1,0,0,Yes,1
91,59,Female,Single,1,Sales,Sales Executive,2,5473,11,3,1,2,4,3,1,No,0
94,29,Male,Married,3,Research & Development,Research Scientist,1,2703,23,2,3,3,5,4,0,No,0
95,31,Male,Single,4,Research & Development,Research Scientist,1,2501,17,2,3,3,1,1,1,No,0
96,32,Male,Married,3,Research & Development,Research Scientist,2,6220,17,2,2,3,10,4,0,No,0
97,36,Female,Married,3,Research & Development,Laboratory Technician,1,3038,12,4,2,3,1,0,0,No,0
98,31,Female,Single,4,Research & Development,Manufacturing Director,2,4424,23,4,3,3,11,7,1,No,0
100,35,Male,Single,4,Sales,Sales Executive,2,4312,14,1,3,3,15,13,2,No,0
101,45,Male,Married,4,Research & Development,Research Director,3,13245,14,1,4,4,0,0,0,Yes,0
102,37,Male,Single,4,Research & Development,Research Director,3,13664,13,3,1,4,5,2,0,No,0
